type,word
word,cambridge
word,twix
word,tesco
word,waitrose 
word,heineken
word,andrex
word,ikea
word,kenco
word,smarties
word,liverpool
word,ability
word,actual
word,against
word,always
word,butler
word,brutality
word,bush
word,candle
word,cathedral
word,dependable
word,cube
word,describe
word,dreamer
word,evidence
word,exhaustion
word,essay
word,fell
word,farmyard
word,fidgety
word,flood
word,gorilla
word,gratitude
word,graze
word,harbour
word,hood
word,hostility
word,insect
word,incident
word,jog
word,kid
word,lamp
word,laundry
word,medicine
word,merry
word,modern
word,note
word,orchestra
word,part
word,patient
word,raspberry
word,tarnish
word,turn
word,water
word,which
word,pond
word,adventurer
nonword,ghroil
nonword,phlourche
nonword,semmed
nonword,skrife
nonword,garphed
nonword,drufe
nonword,squarl
nonword,skups
nonword,thalck
nonword,scruilds
nonword,gnuicked
nonword,bloage
nonword,tomps
nonword,teigged
