subject = 22; date = 2017_Feb_09_1412;gender = female;age =19; native language = English
taskOrder = [1, 2, 4, 3, 5]; responses (Q/blue,P/yellow) = ['no', 'yes']
taskNr,question,response,RT
1,Is Big Ben taller or shorter than 15 meters high?,taller,6536.58473305
taskNr,trial,type,stimulus,response,RT
1,1,word,expression,yes,1858.83355467
1,2,word,pony,yes,756.5338891
1,3,word,carlsberg,yes,706.413821317
1,4,word,doorway,yes,586.342159659
1,5,nonword,wrarve,no,583.670814987
1,6,word,errand,yes,612.365958747
1,7,word,butterfly,yes,632.373388391
1,8,word,oxford,yes,499.622676056
1,9,word,hold,yes,1099.75661407
1,10,word,kick,yes,452.064190991
1,11,word,asda,yes,1150.83317738
1,12,nonword,swawte,no,612.373371143
1,13,word,robot,yes,577.091667103
1,14,word,capacity,yes,583.089505555
1,15,word,cure,yes,428.497059271
1,16,word,twin,yes,447.933727875
1,17,nonword,skreets,no,706.718018046
1,18,word,infant,yes,611.315096961
1,19,word,kleenex,yes,767.329884227
1,20,word,land,yes,469.219810562
1,21,word,ornament,yes,599.325407064
1,22,word,lantern,yes,476.012209896
1,23,nonword,bleafs,no,653.467601864
1,24,nonword,thrauphth,no,1120.06824045
1,25,word,snickers,yes,678.945443127
1,26,nonword,quoud,no,592.269009212
1,27,word,advantage,yes,756.945281988
1,28,word,gracious,yes,546.834485373
1,29,word,brim,yes,521.514586639
1,30,word,eternal,yes,552.914716303
1,31,word,mechanic,yes,422.9884448
1,32,nonword,phroarlte,no,650.465546641
1,33,word,gravity,yes,517.109006643
1,34,word,pathetic,yes,749.18327271
1,35,nonword,duntz,no,723.03089546
1,36,word,aldi,yes,562.292931601
1,37,word,manchester,yes,592.338572489
1,38,word,turnip,yes,517.708277097
1,39,word,butcher,yes,461.78993769
1,40,word,horizontal,yes,551.869841293
1,41,word,inferno,yes,501.925107324
1,42,word,graduate,yes,430.024315603
1,43,word,nescafe,yes,617.497962201
1,44,word,where,yes,517.490179278
1,45,word,path,yes,556.906622835
1,46,word,whisky,yes,410.943446448
1,47,word,absolute,yes,423.78044012
1,48,word,detective,yes,411.282425048
1,49,word,mercy,yes,567.429781891
1,50,word,cabbage,yes,492.75586661
1,51,word,abandon,yes,861.534549156
1,52,word,haddock,yes,383.385548368
1,53,word,advice,yes,524.837659439
1,54,word,moment,yes,412.260017358
1,55,nonword,furge,yes,449.101479026
1,56,nonword,lawpth,no,603.199569276
1,57,word,jaw,yes,575.24282299
1,58,word,accurate,yes,548.581265379
1,59,word,flock,yes,475.305173313
1,60,word,fantasy,yes,437.40942888
1,61,word,noun,yes,432.222686941
1,62,nonword,brule,yes,403.026345419
1,63,word,feet,yes,399.196372833
1,64,word,hoover,yes,788.015270839
1,65,nonword,spleace,no,657.221453963
1,66,word,ducati,no,611.86133977
1,67,word,favourite,yes,455.857671332
1,68,word,desire,yes,369.978934294
1,69,nonword,flewd,no,624.18886763
1,70,nonword,vourque,no,651.47706517
taskNr,question,response,RT
1,How tall is Big Ben?,20,14030.0792821
taskNr,trial,stimulus,response,RT
1,1,lgjh,lgjh,4337.00422244
1,2,bsmtl,bsmtl,2735.71764375
1,3,wbfxvc,wbfxvc,4353.64267905
1,4,sgrbczj,sgrbjct,4253.56789841
taskNr,question,response,RT
2,Is the M25 longer or shorter than 600 miles?,shorter,11466.7734064
taskNr,trial,type,stimulus,response,RT
2,1,word,pond,yes,793.047205778
2,2,nonword,skrife,no,525.562657276
2,3,word,hood,yes,692.935647909
2,4,word,against,yes,453.555525281
2,5,word,actual,yes,383.685754146
2,6,word,raspberry,yes,484.532003058
2,7,word,waitrose ,yes,541.289663641
2,8,word,jog,yes,428.009831114
2,9,nonword,garphed,no,703.475057147
2,10,word,medicine,yes,535.407288931
2,11,word,always,yes,630.113436608
2,12,word,ability,yes,481.476919958
2,13,word,evidence,yes,474.914592458
2,14,word,turn,yes,364.312947029
2,15,nonword,squarl,no,530.519897351
2,16,word,graze,yes,441.917928401
2,17,word,cube,yes,452.743003145
2,18,word,brutality,yes,582.863424672
2,19,word,adventurer,yes,547.56803601
2,20,nonword,skups,no,562.296352582
2,21,word,tesco,yes,384.309542831
2,22,word,hostility,yes,501.098330133
2,23,nonword,semmed,yes,421.230261214
2,24,word,ikea,yes,520.71318333
2,25,word,butler,yes,560.092279688
2,26,word,patient,yes,494.137724396
2,27,word,water,yes,478.950689081
2,28,nonword,tomps,no,568.35748232
2,29,word,modern,yes,509.695954155
2,30,word,bush,yes,517.807205208
2,31,word,cathedral,yes,469.199568732
2,32,word,describe,yes,462.650070665
2,33,word,kenco,yes,408.766457578
2,34,word,farmyard,yes,684.911065735
2,35,word,gratitude,yes,397.555933567
2,36,nonword,bloage,no,1586.31992224
2,37,word,essay,yes,1406.21371288
2,38,nonword,scruilds,no,545.582060702
2,39,word,lamp,yes,464.296211721
2,40,word,which,yes,386.425521458
2,41,word,merry,yes,399.282471742
2,42,nonword,gnuicked,no,707.462687511
2,43,word,note,yes,483.346290886
2,44,word,insect,yes,316.09703158
2,45,word,smarties,yes,411.684409482
2,46,word,exhaustion,yes,567.832336528
2,47,word,andrex,no,2629.12415527
2,48,nonword,phlourche,no,574.867637362
2,49,word,twix,yes,652.229717467
2,50,word,laundry,yes,438.209121581
2,51,nonword,teigged,no,537.004678743
2,52,word,incident,yes,463.682401227
2,53,word,fidgety,yes,889.820295619
2,54,word,fell,yes,586.260907352
2,55,nonword,drufe,no,518.973530969
2,56,word,liverpool,yes,430.378974415
2,57,nonword,ghroil,no,569.808903383
2,58,word,cambridge,yes,407.187598757
2,59,word,flood,yes,515.36051603
2,60,word,gorilla,yes,546.785163693
2,61,word,harbour,yes,369.498263346
2,62,word,dependable,yes,454.992406303
2,63,word,kid,yes,537.174310535
2,64,word,orchestra,yes,551.884096116
2,65,word,dreamer,yes,405.909800902
2,66,word,heineken,yes,490.063710371
2,67,word,tarnish,yes,394.830991048
2,68,word,part,yes,415.678026853
2,69,word,candle,yes,443.156098016
2,70,nonword,thalck,no,525.929005118
taskNr,question,response,RT
2,How long is the M25?,500,6858.40534139
taskNr,trial,stimulus,response,RT
2,1,lxmh,lxmh,1935.0772053
2,2,dfzkb,dfzkb,3119.27196872
2,3,ghjxkz,ghjkzx,4153.51963183
2,4,vglzjfh,vjlhjz,6755.57511323
taskNr,trial,type,stimulus,response,RT
3,1,practice,carrier,yes,522.526105633
3,2,practice,shrinths,no,873.886025045
3,3,practice,scrape,yes,667.056106962
3,4,practice,portsmouth,yes,1196.27996022
3,5,practice,thonz,no,568.482069066
3,6,practice,involve,yes,453.839480411
3,7,practice,carnival,yes,439.983270597
3,8,practice,click,yes,498.775087297
3,9,practice,dancer,yes,626.867624698
3,10,practice,germany,yes,934.229046339
3,11,neutral,day,yes,524.624123005
3,12,expensive,maserati,yes,707.99809671
3,13,neutral,fracture,yes,1275.90997471
3,14,neutral,clay,yes,596.701103495
3,15,neutral,costume,yes,409.421606921
3,16,nonword,skronnth,no,549.560282845
3,17,neutral,capture,yes,667.598643806
3,18,inexpensive,nissan,yes,556.865284219
3,19,neutral,cotton,yes,426.889691269
3,20,inexpensive,citroen,no,1222.36961662
3,21,neutral,piece,yes,521.22122352
3,22,inexpensive,hyundai,yes,576.63209294
3,23,nonword,dwoacsed,no,637.985492591
3,24,neutral,portrait,yes,584.642990725
3,25,nonword,jouche,no,909.317404497
3,26,nonword,vakes,no,765.051971655
3,27,nonword,twimed,no,850.939546479
3,28,neutral,zoo,yes,748.727690196
3,29,neutral,observer,yes,675.270847743
3,30,neutral,forest,yes,756.562683731
3,31,neutral,appetite,yes,698.486171663
3,32,nonword,sowntse,no,715.029406128
3,33,neutral,stapler,yes,554.969969438
3,34,neutral,time,yes,496.989819454
3,35,inexpensive,peugeot,no,545.742854709
3,36,neutral,write,yes,384.545602137
3,37,neutral,bait,yes,429.364890093
3,38,neutral,background,yes,440.825727768
3,39,neutral,soup,yes,419.674779987
3,40,nonword,kulced,no,543.108857702
3,41,expensive,ferrari,yes,453.830642393
3,42,expensive,porsche,yes,567.927558441
3,43,expensive,rolls royce,yes,453.290101606
3,44,expensive,limousine,yes,511.415079935
3,45,neutral,edit,yes,383.53009196
3,46,neutral,always,yes,372.408232884
3,47,neutral,crop,yes,649.885377381
3,48,neutral,bluster,no,763.866544468
3,49,neutral,ordinate,yes,577.749097021
3,50,neutral,birthplace,yes,583.073540125
3,51,expensive,bentley,yes,987.769689644
3,52,inexpensive,volkswagen,yes,632.107679499
3,53,inexpensive,fiat,yes,794.771463145
3,54,nonword,frirmths,no,799.288800918
3,55,neutral,liberal,yes,739.109709626
3,56,nonword,doarged,no,825.639604358
3,57,neutral,diary,yes,596.841655206
3,58,nonword,kirmbed,no,713.506140979
3,59,expensive,lamborghini,yes,681.422922993
