subject = 30; date = 2017_Feb_09_1411;gender = female;age =20; native language = English
taskOrder = [1, 2, 4, 3, 5]; responses (Q/blue,P/yellow) = ['yes', 'no']
taskNr,question,response,RT
1,Is Big Ben taller or shorter than 15 meters high?,shorter,5204.62781773
taskNr,trial,type,stimulus,response,RT
1,1,word,expression,yes,1110.20445055
1,2,word,hoover,yes,669.892386766
1,3,word,desire,yes,511.867741821
1,4,nonword,wrarve,no,1031.85095615
1,5,word,mechanic,yes,466.879281914
1,6,word,flock,yes,405.082297744
1,7,word,infant,yes,401.903901715
1,8,word,eternal,yes,430.074999807
1,9,word,accurate,yes,394.216909772
1,10,nonword,skreets,no,639.040648239
1,11,word,graduate,yes,465.653707972
1,12,word,path,yes,459.096787032
1,13,word,feet,yes,429.247972555
1,14,word,advantage,yes,441.433582455
1,15,word,carlsberg,no,1012.13914133
1,16,word,land,yes,479.913870571
1,17,nonword,vourque,no,682.028106879
1,18,word,ornament,yes,555.288812378
1,19,nonword,quoud,no,641.966460506
1,20,word,moment,yes,388.648088323
1,21,word,butcher,yes,514.129024232
1,22,nonword,phroarlte,no,698.248218745
1,23,word,inferno,no,595.515522175
1,24,word,gravity,yes,496.183016803
1,25,word,robot,yes,465.660264716
1,26,word,manchester,yes,579.076466383
1,27,nonword,flewd,no,872.439950006
1,28,word,cabbage,yes,441.54619053
1,29,word,lantern,yes,436.410125811
1,30,word,whisky,yes,415.153728332
1,31,word,absolute,yes,412.04574774
1,32,word,oxford,yes,424.841721775
1,33,nonword,brule,no,668.323001824
1,34,word,doorway,yes,501.620129682
1,35,word,turnip,yes,1054.33805869
1,36,word,horizontal,yes,488.688171143
1,37,word,advice,yes,401.46173723
1,38,word,butterfly,yes,438.304790761
1,39,nonword,lawpth,no,649.103811476
1,40,word,detective,yes,435.034882743
1,41,word,ducati,no,621.867217124
1,42,word,nescafe,yes,673.169421498
1,43,word,cure,yes,507.032155292
1,44,nonword,thrauphth,no,795.22308358
1,45,word,capacity,yes,471.76817921
1,46,word,aldi,no,545.865661697
1,47,word,where,yes,537.295195973
1,48,word,hold,yes,648.016217863
1,49,word,noun,yes,483.310640557
1,50,nonword,bleafs,no,644.064104883
1,51,nonword,duntz,no,527.389114024
1,52,nonword,spleace,no,567.494092975
1,53,word,snickers,yes,444.730573101
1,54,word,fantasy,yes,511.66846836
1,55,word,jaw,yes,384.466198273
1,56,word,haddock,yes,877.219945192
1,57,word,abandon,yes,470.363857923
1,58,word,gracious,yes,391.811090056
1,59,word,pony,yes,476.692426717
1,60,word,twin,yes,422.800523462
1,61,nonword,swawte,no,722.252251115
1,62,word,kick,yes,450.175953563
1,63,word,favourite,yes,404.275511624
1,64,word,kleenex,yes,561.118770391
1,65,word,mercy,yes,367.893438088
1,66,word,asda,yes,654.098759871
1,67,word,errand,yes,496.024795342
1,68,nonword,furge,no,657.433951972
1,69,word,brim,yes,539.462400833
1,70,word,pathetic,yes,466.166003142
taskNr,question,response,RT
1,How tall is Big Ben?,15,8511.46092755
taskNr,trial,stimulus,response,RT
1,1,thvg,thvg,2485.40971056
1,2,tjznm,tjznm,2285.27680482
1,3,mjcbxh,mjcbxh,3169.2783169
1,4,bjvtzdh,bjztvjh,4803.94606898
taskNr,question,response,RT
2,Is the M25 longer or shorter than 600 miles?,shorter,4722.43498964
taskNr,trial,type,stimulus,response,RT
2,1,nonword,bloage,no,618.910616031
