type,word
word,hoover
word,snickers
word,oxford
word,asda
word,ducati
word,carlsberg
word,aldi
word,kleenex
word,nescafe
word,manchester
word,abandon
word,absolute
word,accurate
word,advice
word,butcher
word,butterfly
word,brim
word,cabbage
word,capacity
word,detective
word,cure
word,desire
word,doorway
word,eternal
word,expression
word,errand
word,feet
word,favourite
word,fantasy
word,flock
word,graduate
word,gravity
word,gracious
word,haddock
word,hold
word,horizontal
word,infant
word,inferno
word,jaw
word,kick
word,land
word,lantern
word,mechanic
word,mercy
word,moment
word,noun
word,ornament
word,path
word,pathetic
word,robot
word,turnip
word,twin
word,whisky
word,where
word,pony
word,advantage
nonword,thrauphth
nonword,flewd
nonword,lawpth
nonword,spleace
nonword,furge
nonword,quoud
nonword,swawte
nonword,wrarve
nonword,brule
nonword,skreets
nonword,duntz
nonword,bleafs
nonword,vourque
nonword,phroarlte
